Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
1987,Randy Dixon,Pittsburgh,OG,75.60,292,9.50,33.25,,5.28,24,25.0,90,5.17,9.99,
1987,Karl Dorrell,UCLA,WR,71.00,188,9.50,31.25,,4.67,8,30.5,112,4.44,9.99,11.77
1987,D.J. Dozier,Penn State,RB,72.30,204,10.25,31.25,,9.99,,34.0,122,9.99,9.99,
1987,Doug Dubose,Nebraska,RB,71.00,191,8.75,29.50,,9.99,11,,,9.99,9.99,
1987,David Dudley,Arkansas,OLB,74.10,210,9.75,33.00,,4.65,15,27.5,111,4.38,9.99,11.69
1987,Curtis Duncan,Northwestern,WR,70.30,180,9.50,31.50,,4.44,12,31.0,117,4.56,9.99,11.86
1987,Scott Eccles,Eastern New Mexico,TE,76.30,243,9.25,31.75,,4.57,19,31.0,116,4.20,9.99,11.65
1987,Onzy Elam,Tennessee State,OLB,73.80,216,9.00,30.75,,4.71,19,29.5,110,4.35,9.99,11.88
1987,Tony Elliott,Central Michigan,SS,70.40,190,9.25,30.50,,4.84,8,27.0,103,4.21,9.99,11.73
1987,Larry Emory,Wisconsin,RB,68.60,193,9.25,30.00,,4.60,13,30.0,116,4.02,9.99,11.47
1987,Byron Evans,Arizona,ILB,74.00,220,9.50,32.75,,4.79,17,29.5,117,4.48,9.99,11.94
1987,Donald Evans,Winston-Salem State (NC),DT,73.80,262,8.50,32.00,,4.62,29,31.0,115,4.52,9.99,
1987,Thomas Everett,Baylor,FS,68.00,177,9.50,30.00,,4.56,11,,,9.99,9.99,
1987,Charles Faucette,Maryland,ILB,74.80,240,9.75,30.50,,4.91,,30.0,113,4.46,9.99,11.91
1987,Rick Fenney,Washington,FB,74.30,246,9.75,31.50,,4.79,28,29.5,101,4.46,9.99,11.91
1987,Terrence Flagler,Clemson,RB,71.60,199,9.75,30.00,,4.52,15,30.5,113,4.41,9.99,12.20
1987,Kenneth Flowers,Clemson,RB,71.90,211,9.50,31.25,,4.44,14,31.0,119,4.40,9.99,11.86
1987,Ron Francis,Baylor,CB,69.40,188,8.50,30.00,,4.49,8,34.0,115,4.06,9.99,11.28
1987,Chris Gambol,Iowa,OT,78.50,291,10.50,33.50,,5.20,21,27.0,110,4.69,9.99,
1987,Rich Gannon,Delaware,QB,74.30,193,9.50,30.00,,4.58,7,32.5,110,4.11,9.99,
1987,Mark Garalczyk,Western Michigan,DT,76.90,272,10.75,31.75,,5.01,14,28.0,106,4.56,9.99,
